,user_id,sign_up_date
232,5b0c3767e66d0319243e23ed,2018-05-28
233,5b0c5005e66d0319243e3811,2018-05-28
240,5c5d49b9e66d031d1c37e85c,2019-02-08
243,5c5dc812e66d031d1cb06cf5,2019-02-08
244,5c5cdb39e66d03180890ab0d,2019-02-08
245,5b0ca605e66d0319243e760b,2018-05-29
252,5b0d39e3e66d0318dce9ed4e,2018-05-29
255,5b0dbc7ee66d0318dcea4edd,2018-05-29
256,5b0d40afe66d0318dce9f1c6,2018-05-29
258,5c5f3b7ee66d031508ca6bfe,2019-02-09
259,59bca866e66d030dc0350cd1,2017-09-16
264,5b0ed50ee66d03078056c0fc,2018-05-30
265,5b0ebefce66d03078056b13b,2018-05-30
266,5b0efdbae66d03078056d93f,2018-05-30
267,5c604d8de66d031508ec5dbb,2019-02-10
268,5c607efbe66d03057c2c99b7,2019-02-10
271,5c6094e4e66d03057c2ed81a,2019-02-10
272,5c608d37e66d03057c2ddf36,2019-02-10
274,59bec21de66d031e4c38eaa1,2017-09-17
275,5b106a32e66d030b9804cfa0,2018-05-31
277,5b106c3be66d030b9804d0bb,2018-05-31
280,5c616811e66d03057c6852ee,2019-02-11
282,5c61dfe5e66d03057c32a294,2019-02-11
283,5c60d38be66d03057c3e519e,2019-02-11
284,5c61ac79e66d03057cd35037,2019-02-11
285,5c61bcbde66d03057cf2be9f,2019-02-11
287,5c619e13e66d03057cb968d9,2019-02-11
299,59bf3ebfe66d031e4c38feda,2017-09-18
300,59bfff33e66d031e4c393911,2017-09-18
302,59c0261de66d0307b4e3785d,2017-09-18
306,5b114d1ae66d030b980517ff,2018-06-01
307,5c624273e66d0324a87456e0,2019-02-12
310,5c622d69e66d0324a86f3c84,2019-02-12
311,5c626aace66d0324a8777106,2019-02-12
312,5c6303fbe66d0324a814324b,2019-02-12
314,5c62dd3ce66d0324a8dcfceb,2019-02-12
317,5c62195fe66d0324a86517d3,2019-02-12
319,586f2b05e66d0317f841f958,2017-01-06
321,586edf68e66d0317f841d793,2017-01-06
327,59c14148e66d0307b4e3933c,2017-09-19
328,5b12c87fe66d031eec88a6ba,2018-06-02
330,5c643fd1e66d03185c678d3b,2019-02-13
331,5c63abd9e66d03185cd4b89e,2019-02-13
337,5c63fc00e66d03185c018a4e,2019-02-13
338,5c65bd22e66d032a04e9615e,2019-02-14
339,5c6576b7e66d032a04864f52,2019-02-14
342,5b154524e66d0407c011e795,2018-06-04
352,5b148cd2e66d0313acd1a34c,2018-06-04
359,5b1586a0e66d0407c0121cc6,2018-06-04
360,5b15b529e66d0407c0123f7c,2018-06-04
361,5c660467e66d032a044d7088,2019-02-15
362,59c47f63e66d030750bf56ae,2017-09-22
363,5b16d52ee66d131654277ec6,2018-06-05
364,5b1664b8e66d0416549b0c92,2018-06-05
365,5b16e80fe66d131654279194,2018-06-05
367,5c68082ee66d0321ac52d2b8,2019-02-16
368,5c688414e66d03168ceadcf4,2019-02-16
369,59c62f65e66d03167462fe15,2017-09-23
371,59c6e5cee66d030dd45869e8,2017-09-23
375,59c5ded5e66d03161c1c9da1,2017-09-23
378,5b17eb5be66d031d28746c8e,2018-06-06
380,5b177635e66d13165427dae1,2018-06-06
381,5b176233e66d13165427d702,2018-06-06
385,5b180df0e66d031d2874812a,2018-06-06
392,5c697e6ae66d03168c17c745,2019-02-17
393,5c68d545e66d03168cff37cf,2019-02-17
396,5876b17ce66d030e7cc51661,2017-01-11
398,58764a0de66d030cb87856df,2017-01-11
399,59c7dde3e66d0312b0ac05fd,2017-09-24
400,59c6febee66d031674630ebc,2017-09-24
401,5b191740e66d131d285cdd8e,2018-06-07
402,5c6ab217e66d032b3ccbfb5b,2019-02-18
404,5c6ad355e66d032b3c02d0b8,2019-02-18
406,5c6a2c69e66d032b3c9cc19e,2019-02-18
410,5c6b099ae66d032b3c5dd3b3,2019-02-18
414,5c6b03d0e66d032b3c551b23,2019-02-18
416,5c6a7517e66d032b3c9e5e8b,2019-02-18
417,5876d03fe66d030e7cc51d6b,2017-01-12
420,59c8e189e66d030dc09cbdab,2017-09-25
422,59c8e9b6e66d0312b0ac3ad1,2017-09-25
423,59c932abe66d030dc09cc6f1,2017-09-25
424,59c8f2bde66d0312b0ac3e21,2017-09-25
425,5b1b0228e66d031c04d193d1,2018-06-08
426,5b1b16bae66d031b989e6eb8,2018-06-08
428,5c6c5c69e66d032450825756,2019-02-19
430,5c6c6bc8e66d032450a3c4b7,2019-02-19
431,5c6c03cce66d032450f55dc1,2019-02-19
432,59ca7f7ee66d0319283e5729,2017-09-26
433,59ca54a7e66d030dc09ce002,2017-09-26
439,59ca383fe66d0317acc36835,2017-09-26
440,5c6ddba7e66d031254ee9a95,2019-02-20
441,5c6db43fe66d031254aa4a86,2019-02-20
442,5c6d644ce66d0312543a61dc,2019-02-20
448,5c6d8c35e66d03125470909f,2019-02-20
449,5c6cbe60e66d0324500f53f0,2019-02-20
450,5c6d7d41e66d03125459b9a4,2019-02-20
451,5c6d8366e66d031254625ad8,2019-02-20
452,5c6dd4cee66d031254e24b36,2019-02-20
453,5c6d5886e66d0312542cd43a,2019-02-20
454,5b1db844e66d0310240edd6b,2018-06-10
456,5b1d66d3e66d0310240ebff7,2018-06-10
462,5c6f0ab1e66d0313501020b4,2019-02-21
464,5c6ef421e66d031350e6d410,2019-02-21
465,5c6ee210e66d031350cc1359,2019-02-21
466,5c6f2f2be66d031350522fd2,2019-02-21
467,5c6f2062e66d03135038cc0b,2019-02-21
468,5c6e1351e66d0312542879d4,2019-02-21
469,587b5ad7e66d040c9c2ed9c7,2017-01-15
470,59cd1552e66d031818a7ebe8,2017-09-28
471,59cd3f5ae66d031818a7faab,2017-09-28
472,5b1ea588e66d03162c1593f6,2018-06-11
473,5b1ea98ee66d100c48242b73,2018-06-11
477,5b1ee084e66d100c48245503,2018-06-11
479,5b1e5429e66d03176854dd30,2018-06-11
483,5b1eb84be66d100c482433e3,2018-06-11
485,5c6f5460e66d03135079e54c,2019-02-22
486,5c6f6dbee66d031350800bbd,2019-02-22
487,5c7077d6e66d030c50533397,2019-02-22
488,5c6f6cc3e66d0313507fe824,2019-02-22
489,5c6fdcfae66d03135094d159,2019-02-22
490,5c6f82d0e66d031350816406,2019-02-22
492,587d378be66d0317f8727981,2017-01-16
498,59ce7149e66d030d40076336,2017-09-29
500,5b203083e66d07144010c366,2018-06-12
501,5c708dede66d030c50683542,2019-02-23
502,5c70d750e66d030c507e6193,2019-02-23
503,5c70c526e66d030c507cff0a,2019-02-23
505,587d89bae66d0317f8728c1d,2017-01-17
506,5b2117dbe66d301fb8631b47,2018-06-13
514,5b211c1de66d301fb8631de3,2018-06-13
515,5b22bf37e66d031a88f6f797,2018-06-14
516,5c745ba6e66d03196456f5ed,2019-02-25
517,5c74637de66d031964688690,2019-02-25
518,5c7333a5e66d032138e0f05c,2019-02-25
519,5c7345d6e66d032138e4477d,2019-02-25
520,5c743101e66d031964fab791,2019-02-25
522,59d2b345e66d031b880b689a,2017-10-02
525,59d28103e66d0315940a6036,2017-10-02
526,59d29f35e66d031b14819651,2017-10-02
528,5c751b78e66d031964c185f4,2019-02-26
529,5c75c38ae66d030318ab0cd7,2019-02-26
531,58828fb9e66d031544b8086f,2017-01-20
535,59d3dd97e66d0315940a8109,2017-10-03
536,5b2557cde66d0308545833b3,2018-06-16
537,5c75ec4ce66d030318d3c96f,2019-02-27
543,5c769589e66d0303182a33fc,2019-02-27
544,5c768e1ae66d0303181c89ba,2019-02-27
545,59d43ec2e66d031908a67fc1,2017-10-04
547,59d563bbe66d030cf44e0835,2017-10-04
549,5b265c83e66d031164659083,2018-06-17
558,5b26e6f2e66d03116465ce7e,2018-06-17
560,5c780c50e66d03216cebab4b,2019-02-28
562,5c780445e66d03216ce061bd,2019-02-28
568,5c772fe7e66d03216c33bdd6,2019-02-28
570,5c77fce8e66d03216cd61634,2019-02-28
571,5c785a3be66d0319e4ec7cc9,2019-02-28
572,59d64fb1e66d031674dbbbcb,2017-10-05
574,59d6990be66d031674dbd87d,2017-10-05
575,59d62859e66d0319fcf9b63b,2017-10-05
576,5b284241e66d03119c7f51bf,2018-06-18
577,5c78c025e66d0319e436f310,2019-03-01
581,59d6dbdbe66d0319fcf9cc39,2017-10-06
583,59d70d2de66d0319fcf9d210,2017-10-06
587,5b293a06e66d031c54764aae,2018-06-19
588,5b284caee66d0317906e17eb,2018-06-19
589,5b293615e66d031c54764a7b,2018-06-19
591,5c7a50ede66d032474fdb2db,2019-03-02
593,5c7a6aa9e66d03247400efea,2019-03-02
594,5886db38e66d031498384476,2017-01-24
597,5b2a5e53e66d030c8cb9537b,2018-06-20
598,5c7bea6ce66d0314b42c6775,2019-03-03
599,5888f469e66d031740a68618,2017-01-25
600,58888eaae66d030678b7a19d,2017-01-25
607,59d9ec1ae66d03095c7813ce,2017-10-08
608,5b2bc52fe66d030b106fd8c2,2018-06-21
609,5b2c3b7ce66d101880d5cef6,2018-06-21
611,5c7d7130e66d032798dd5730,2019-03-04
612,5c7cd90ee66d0314b4517faa,2019-03-04
613,5c7d8546e66d032798f22753,2019-03-04
614,5c7d787fe66d032798e6e0f2,2019-03-04
615,59dbe743e66d030f28cd2059,2017-10-09
617,59db2b6be66d031820c5b019,2017-10-09
618,59db6d68e66d030f28cced33,2017-10-09
619,5b2d430ae66d031c20b7f270,2018-06-22
620,5b2c5c2ee66d101880d5e966,2018-06-22
621,5b2d6f4be66d03188c2f4cfd,2018-06-22
625,5b2d60bee66d031c20b8013c,2018-06-22
626,5c7e8344e66d032798487334,2019-03-05
627,5c7e4f27e66d0327982c3df3,2019-03-05
630,5c7ea639e66d03279862f15d,2019-03-05
632,588b80aee66d030bac2179d7,2017-01-27
633,59dd05f3e66d0513486a4efd,2017-10-10
634,5b2e70f9e66d0314c45519b1,2018-06-23
637,5b2e9fcde66d0314c4553219,2018-06-23
638,5c7fb377e66d030f983b61af,2019-03-06
641,5c7f73dde66d030f9829a144,2019-03-06
643,588d041ee66d0312e0cd00c9,2017-01-28
645,5b3020e7e66d030f98ae4fda,2018-06-24
647,5b2fa55be66d0314c4559716,2018-06-24
648,5b30273de66d030bd8044211,2018-06-24
650,5c8141f4e66d051ad8e85b6f,2019-03-07
651,5c816437e66d051ad815f652,2019-03-07
652,5c813fc7e66d051ad8e5f05f,2019-03-07
654,5c817721e66d051ad82bf56c,2019-03-07
657,5c817806e66d051ad82cd49e,2019-03-07
663,5c81ae33e66d051ad87da62a,2019-03-07
664,5b303859e66d030f98ae5716,2018-06-25
668,5b314dc8e66d060f98a56758,2018-06-25
672,5b30e877e66d060f98a52a6c,2018-06-25
673,5b30ef8de66d060f98a52ed7,2018-06-25
674,5c824ef1e66d031228e70a85,2019-03-08
675,5c82a0d2e66d0612288619a1,2019-03-08
677,5c82357be66d031228d5f5b3,2019-03-08
678,588eadf6e66d030bb8ba470f,2017-01-30
679,5b32375fe66d03187c15191a,2018-06-26
682,5b327f3de66d03187c153ff1,2018-06-26
683,5b318a73e66d03187c14eb35,2018-06-26
685,5c843287e66d032bc0563bfd,2019-03-09
686,59e27ba6e66d031aa4bd4a62,2017-10-14
688,59e1f13ce66d0317b8d11d7b,2017-10-14
695,59e1cd34e66d031adce88527,2017-10-14
696,5b33883ae66d050ab0fe75df,2018-06-27
697,5b32d677e66d03187c156a79,2018-06-27
698,5c856498e66d0308bcd0bccd,2019-03-10
700,59e2b496e66d0319605534fc,2017-10-15
702,5b35028ce66d031b6866af67,2018-06-28
703,5c866b66e66d0308bc401afc,2019-03-11
704,5c86e1aee66d031c106e6995,2019-03-11
705,5c86ad89e66d031c10fc3d0f,2019-03-11
706,5c86ef15e66d031c10883f48,2019-03-11
714,5c86ac9be66d031c10fa1c39,2019-03-11
723,5c86b41fe66d031c100ad551,2019-03-11
724,5c861df3e66d0308bcf52e0d,2019-03-11
728,59e5462fe66d0319e823de7d,2017-10-16
730,59e534bbe66d030e4cdb9cd5,2017-10-16
735,5b3645d9e66d030828d220a1,2018-06-29
740,5b3681aee66d03193416071c,2018-06-29
745,5b361c04e66d030828d2090e,2018-06-29
748,5c8801dce66d031c1064b88c,2019-03-12
749,5c87d8cae66d031c101f0f8d,2019-03-12
751,59e6347ae66d03013815e8e2,2017-10-17
752,59e60c92e66d03013815df94,2017-10-17
753,5b379945e66d030828d296e4,2018-06-30
754,5c8927b9e66d03179ce667f5,2019-03-13
755,5c89680ce66d03179c56071d,2019-03-13
756,5c89400ee66d03179c0788d5,2019-03-13
757,59e6b8dde66d03013815f8da,2017-10-18
758,5b392a97e66d031e7070a740,2018-07-01
759,5c8a376de66d031d983ff004,2019-03-14
760,5c8acf0ce66d031d983eb954,2019-03-14
768,5c8a91b3e66d031d98d02995,2019-03-14
769,5c8a68d8e66d031d988fc64f,2019-03-14
770,58977611e66d03160838152d,2017-02-05
777,59e8913be66d031458f584d0,2017-10-19
781,5b3a4b04e66d0301085521dd,2018-07-02
783,5b3a8710e66d0301085547ef,2018-07-02
787,5c8bea09e66d0316d4374e9a,2019-03-15
788,5897e339e66d030cb0ce9dd1,2017-02-06
789,59e9c85fe66d0310f4f9d223,2017-10-20
792,59ea3880e66d031aac8a4855,2017-10-20
793,5b3bb226e66d0311481a23ea,2018-07-03
796,5b3b4760e66d03114819f848,2018-07-03
797,5b3b7244e66d0311481a0790,2018-07-03
798,5c8d54eae66d032750840d48,2019-03-16
800,59eba435e66d030e5c6319e5,2017-10-21
801,5b3cf205e66d030f940f884e,2018-07-04
803,5c8ece78e66d0309080e1eae,2019-03-17
805,5c8da3a8e66d03275094b53f,2019-03-17
807,59ed061ae66d03075c1e5a54,2017-10-22
808,5b3df5b3e66d030f940fe2a5,2018-07-05
809,5b3e50f9e66d031a94315c5a,2018-07-05
812,5b3ea23be66d031a94317db1,2018-07-05
813,5c8fdea9e66d030908b8fa27,2019-03-18
816,5c8fe45de66d030908c35657,2019-03-18
817,5c902c7fe66d03090848a6ed,2019-03-18
823,5c8fd6cae66d030908ae3ce0,2019-03-18
824,5c8ffb59e66d030908ef506f,2019-03-18
829,5c8fab50e66d0309087c375b,2019-03-18
834,5c900392e66d030908fca380,2019-03-18
837,589c8b04e66d0315605539f6,2017-02-09
838,59ee099ae66d0309684bcf7b,2017-10-23
841,59ee64eee66d030f9c4b0dd7,2017-10-23
842,5b3f9f07e66d031a9431b556,2018-07-06
848,5c914416e66d0323882e35c6,2019-03-19
849,5c915413e66d032388483526,2019-03-19
853,5c913eaee66d032388239e78,2019-03-19
855,5c910a89e66d032388cb8d82,2019-03-19
859,5c90a4bce66d0323887ca5b1,2019-03-19
860,5c90d441e66d0323888b20a6,2019-03-19
863,5c91024be66d032388c32b90,2019-03-19
864,5c90f0b0e66d032388afda0e,2019-03-19
867,59ef14bce66d030290f0d120,2017-10-24
869,59ef03dde66d0309684c05cd,2017-10-24
872,59ef1f91e66d03118c3a58ed,2017-10-24
873,5b4022c5e66d030a1c470053,2018-07-07
878,5c925054e66d0327208f203d,2019-03-20
879,59f0bcede66d0308a8517407,2017-10-25
882,59f0b488e66d030844d6b9f0,2017-10-25
883,5b41f5fde66d03074c11c443,2018-07-08
884,5c93a719e66d0307bcda2144,2019-03-21
886,5c93620fe66d032720a170d4,2019-03-21
888,5c92e2b9e66d0327207fcfb2,2019-03-21
889,5c92f953e66d0327208ea52a,2019-03-21
890,5c939ed2e66d0307bcced5e7,2019-03-21
891,5c9385efe66d0307bc9fb5e2,2019-03-21
892,5c93cd84e66d0307bc0782ac,2019-03-21
895,59f23105e66d031658ef54bb,2017-10-26
898,59f1dc0be66d0308a851abc5,2017-10-26
899,5b438969e66d031ab8c691c8,2018-07-09
901,5b435980e66d031ab8c67bf2,2018-07-09
902,5c9468a0e66d0307bcbfb555,2019-03-22
903,58a195d1e66d030d1cf9d8ce,2017-02-13
904,58a1cd23e66d030d1cf9e752,2017-02-13
905,59f32414e66d0501482ed03b,2017-10-27
909,59f3789fe66d031a2ce5c7ca,2017-10-27
910,5c96c3f2e66d032b9024a986,2019-03-23
921,5c964272e66d03084851e5c3,2019-03-23
923,58a35a4ee66d0310248c8745,2017-02-14
924,59f4d59be66d0303a0e3d440,2017-10-28
925,5c97fbf6e66d032b905a4062,2019-03-24
928,58a4b221e66d03163058e835,2017-02-15
938,59f591b2e66d031ae017657f,2017-10-29
940,59f65dabe66d040978aee113,2017-10-29
941,59f661a3e66d040978aee1ce,2017-10-29
943,5b47955ae66d030d8817828e,2018-07-12
944,5c99545ee66d03291cabd47f,2019-03-25
947,5c982d72e66d03291c7c2565,2019-03-25
948,5c987934e66d03291c8a15f5,2019-03-25
950,5c98ac09e66d03291c954e68,2019-03-25
951,58a5dbcde66d03100c8bc712,2017-02-16
952,59f716f0e66d031e88e04a7b,2017-10-30
953,5b493753e66d031e9c1eb94c,2018-07-13
957,5b486698e66d031c9cf26712,2018-07-13
962,5b48ef3ae66d031c9cf28c64,2018-07-13
963,5b48bc4fe66d031c9cf27a70,2018-07-13
965,5b47fb25e66d031c9cf257b0,2018-07-13
966,5c9a1ba3e66d0322902c31c1,2019-03-26
967,5c9a499ae66d0322906b2777,2019-03-26
968,5c9ab9f6e66d072290cd6a08,2019-03-26
973,5c9a5d3fe66d0322908acc07,2019-03-26
977,59f87941e66d0316fcf3acb1,2017-10-31
978,5b4a206de66d031e9c1eee43,2018-07-14
979,5b49f000e66d031e9c1edfa0,2018-07-14
980,5c9b68fde66d03131850da4d,2019-03-27
982,5c9c0412e66d03131828e1af,2019-03-27
984,5c9b5c3ee66d03131842f276,2019-03-27
985,5c9ae892e66d072290f5dc50,2019-03-27
986,5c9b5923e66d0722900778e0,2019-03-27
990,5c9ac9a4e66d072290dd1b62,2019-03-27
991,5c9b0457e66d072290fe47bf,2019-03-27
992,58a83f46e66d031ae88e8173,2017-02-18
996,59f9b10be66d0316fcf40a6d,2017-11-01
997,59f96418e66d031b3c9913fa,2017-11-01
998,59f9e6dce66d0316fcf41d89,2017-11-01
